x1,x2,y
2.3891637,23.809582,3
3.5854108,23.920345,3
23.844986,-10.87275,3
-43.180656,-49.50988,3
18.094233,-11.078911,3
-7.201336,-16.955803,3
-17.61471,8.557777,3
-11.775616,26.870602,3
4.4650955,-26.092852,3
-22.377657,32.354374,3
3.7689893,19.882317,3
28.158314,-39.766045,3
-7.077478,-29.314108,3
-6.763405,-19.842197,3
22.200737,-61.419735,3
-46.20741,28.334906,7
-57.58144,31.90218,7
-45.080296,32.739426,7
-34.234516,-14.811679,7
-30.366093,5.711955,7
-52.588165,13.139533,7
-42.85092,7.272929,3
-3.219257,-11.308904,7
-0.005920277,14.844241,7
-46.987564,36.577953,7
-34.647366,31.188229,7
-49.33235,31.0221,7
-38.12889,-7.5755777,7
-19.646435,31.161684,0
-10.208102,-27.120897,3
-51.052986,22.94012,7
-18.050247,-12.592282,0
-40.30249,-18.737741,7
-31.816132,-11.50383,7
-11.991561,15.087303,0
-33.80067,-13.673504,7
-44.291027,20.110725,7
-43.27304,15.019926,7
-36.932034,36.188675,7
-38.379025,-11.554238,7
45.647194,-43.902794,7
-14.027775,16.836946,3
-23.498142,-7.4845924,5
-19.957943,-28.485312,3
20.695543,-26.663763,7
15.069739,15.62533,7
-38.261353,39.257996,7
-32.570755,35.13406,7
35.115368,-40.748466,5
-47.29388,29.52204,7
-27.53072,11.039269,7
-30.026716,-12.400211,7
39.73968,-39.003376,0
-9.982384,28.590336,9
65.219765,-19.136652,9
-26.520342,0.018665416,9
-57.336926,36.895668,7
11.358325,13.629601,9
42.492897,-18.43838,5
13.155036,14.570675,7
13.70089,10.006467,9
64.825935,-10.431401,9
-37.925465,-14.075366,7
-37.227932,37.43236,7
-48.72692,-42.89031,9
68.160675,-20.93045,9
-51.437576,23.290564,7
-56.36527,-48.379383,7
37.073696,28.082392,2
1.6147174,63.217175,2
68.16151,-20.948109,9
50.91386,-33.43197,2
-1.3471591,54.113766,2
60.092224,-30.679216,2
31.495554,-63.88225,5
-22.771358,66.46138,2
26.015978,45.003033,2
41.743492,29.944014,2
-13.273002,30.766264,3
28.30022,33.4955,2
40.144573,61.991585,2
-56.09754,35.550827,7
32.158318,60.50652,2
16.024187,30.904432,2
-9.39312,-53.46699,9
12.287315,-19.048075,9
51.71665,56.715767,2
43.243702,52.68766,2
64.445015,-2.1112375,2
59.90775,43.721577,2
52.28612,-33.142635,2
-53.114937,24.33369,7
0.9993352,35.947613,2
46.46964,-16.272682,5
42.16544,29.71294,2
11.766223,52.267117,2
20.290808,-28.271809,2
66.02017,34.414135,2
33.467606,-2.7100704,1
-50.83143,-17.30684,7
46.594276,-6.280337,2
32.393753,44.92578,2
11.595664,-72.5465,2
16.94287,47.162807,2
-12.41584,34.492374,2
14.201894,52.154545,2
17.038519,47.225277,2
60.42256,6.966921,2
51.865772,33.05142,2
14.259304,-26.595312,5
33.82015,19.914873,2
-34.534225,45.69992,2
-18.849134,65.67436,2
-4.482729,43.71346,2
-50.830322,-26.4283,2
-21.555927,1.6412686,4
9.769975,53.22883,2
1.7358445,36.016754,2
-31.178675,14.445435,4
24.220392,10.737805,1
48.7375,33.540737,2
40.339375,27.044216,2
67.60024,-1.9646587,2
15.867157,-21.28234,3
12.94823,28.802757,2
18.026628,30.937628,2
-8.863722,5.3222733,4
29.361769,-29.929861,4
-30.489544,5.0556645,7
40.685722,50.218193,2
13.290325,14.448704,7
57.17389,3.9603596,2
49.608063,27.495892,2
0.038628917,14.848029,2
-7.717849,-32.228783,2
-22.421417,32.73088,5
47.903137,24.956465,2
-39.6227,-42.39284,4
-3.3535764,47.144196,2
-2.7348838,20.551779,4
-41.626003,-11.221033,7
41.073524,-63.19681,2
45.599213,59.24514,2
52.329056,46.134483,2
54.132313,-12.107461,9
16.210209,27.235703,2
-45.857643,-12.645014,7
-0.16263798,23.66683,4
-29.59947,8.408775,9
19.374521,-31.048952,2
1.2245374,66.97587,2
-14.403524,26.221697,9
-5.5529213,48.416317,2
-14.920785,73.64354,2
18.174797,-71.31211,2
14.179424,-17.538036,4
-53.510338,34.620766,7
-10.831679,6.453493,8
-61.918583,2.058842,8
64.99178,-16.806633,9
-8.406515,35.516026,2
-39.98552,-25.04306,8
-23.248217,62.2383,2
10.923764,4.4053035,4
-55.402615,0.44619554,4
35.145535,51.97794,2
54.985725,-11.051457,9
3.5645452,-21.796429,8
25.587059,51.388466,2
-14.770536,24.140202,7
-46.216347,18.49747,7
