index,amount,text,label,prediction
0,0.9537785491139502,"Brand 1: mr pawn. Brand 2: mr pawn llc. Merchant Category: pawn shops. Description: pawn shop in mesquite, nevada.",6,6
1,-0.17439519846357227,"Brand 1: paloma medical. Brand 2: paloma medical group. Merchant Category: doctors or physicians. Description: doctor in tucson, arizona.",4,4
2,-0.8921331967140133,Brand 1: young can wok chinese bistro. Brand 2: young can wok. Merchant Category: restaurants or eating places. Description: chinese restaurant.,2,2
3,0.6865022904286626,Brand 1: the royal. Brand 2: york street tavern. Merchant Category: none. Description: gay bar; view all.,6,2
4,-1.3776196582684463,"Brand 1: aspen hill gas. Brand 2: aspen hill gas. Merchant Category: gas/service stations with/without ancillary services. Description: gas station in the aspen hill, maryland.",7,7
5,0.46076480339003034,Brand 1: bestway supermarket. Brand 2: bestway falls chur. Merchant Category: none. Description: supermarket.,6,6
6,-0.9225765429276719,Brand 1: gpnetsupport.com. Brand 2: gpnetsupport.com. Merchant Category: dating or escort services. Description: none.,8,8
7,0.8403324332857188,"Brand 1: sylvan corners pet hospital. Brand 2: sylvan corners pet hos. Merchant Category: veterinary services. Description: veterinarian in citrus heights, california.",4,4
8,0.6833310933611543,Brand 1: ocean boulevard bistro and martini bar. Brand 2: ocean blvd. Merchant Category: none. Description: bistro; open in maps.,2,2
9,-0.47121720729576216,Brand 1: alamo grocery. Brand 2: alamo grocery. Merchant Category: none. Description: convenience store.,6,6
10,0.1586310431610443,Brand 1: lake ohana market. Brand 2: lake ohana market. Merchant Category: none. Description: convenience store.,6,6
11,1.018603051339461,"Brand 1: amnricas river oaks. Brand 2: americas   river oaks. Merchant Category: restaurants or eating places. Description: residential community in houston, texas; south american restaurant.",2,2
12,-0.15287079766309883,Brand 1: dri*sandisk corp.. Brand 2: dri*sandisk corp.. Merchant Category: computer network/info svcs. Description: none.,8,8
13,0.27826078555267303,"Brand 1: wag. Brand 2: wag. Merchant Category: none. Description: pet store in tampa, florida.",6,6
14,0.7576755925484283,Brand 1: ksl. Brand 2: ksl. Merchant Category: miscellaneous & specialty stores. Description: view all.,8,6
15,-0.4176960012281053,"Brand 1: sun cyclery. Brand 2: sun cyclery, inc. Merchant Category: bicycle shops -- sales and service. Description: bicycle repair shop in phoenix, arizona.",6,6
16,0.38875514725546195,"Brand 1: davids. Brand 2: davids western store. Merchant Category: apparel and accessory shops -- miscellaneous. Description: near texas; hospital · austin, txopen hours; western apparel store in weatherford, texas.",6,6
17,0.2453094077455017,"Brand 1: torrid. Brand 2: torrid#. Merchant Category: apparel and accessory shops -- miscellaneous. Description: plus size clothing store in carlsbad, california.",6,6
18,0.5734217137636969,Brand 1: ridge market. Brand 2: ridge market. Merchant Category: none. Description: liquor store.,6,6
19,-0.026010238530389772,"Brand 1: dr. george nunez jr md. Brand 2: george nunez jr md pa. Merchant Category: doctors or physicians. Description: gastroenterologist in houston, texas.",4,4
20,1.0885661902023704,"Brand 1: dhhs. Brand 2: dhhs online licens. Merchant Category: none. Description: social services organization · omaha, neclosed ⋅ opens fri; state agency · dhhs.ne.gov; twitter • hours ago; public health department · lincoln, neclosed ⋅ opens fri; near nebraska; state government office · omaha, neclosed ⋅ opens fri.",8,4
21,0.17128926029567693,"Brand 1: new image. Brand 2: new image. Merchant Category: none. Description: laser hair removal service · rochester hills, miclosed ⋅ opens; view all; near columbus oh, oh; cosmetics store · ypsilanti, miclosed ⋅ opens; portrait studio · lake orion, miclosed ⋅ opens; portrait studio in orion township, michigan.",8,8
22,-0.3009387706219674,Brand 1: golden boar asian cuisine. Brand 2: golden boar chines. Merchant Category: restaurants or eating places. Description: taiwanese restaurant.,2,2
23,0.9538599395881686,"Brand 1: commonwealth health tyler memorial hospital. Brand 2: tyler hosp admissions. Merchant Category: medical services and health practitioners (nec). Description: medical center in wyoming county, pennsylvania; physical therapist in wyoming county, pennsylvania.",4,4
24,0.20812385699236063,"Brand 1: murillo george j md. Brand 2: george j murillo m. Merchant Category: none. Description: doctor in tomball, texas.",4,4
25,-1.0353447763216324,"Brand 1: kingston henery ha. Brand 2: kingston henery ha. Merchant Category: hardware stores. Description: hardware store in kingston, washington.",6,6
26,-0.001953392135417532,"Brand 1: strait city trading company. Brand 2: straitcity.com. Merchant Category: miscellaneous & specialty stores. Description: fabric wholesaler in alabaster, alabama.",6,6
27,-0.732683940998384,"Brand 1: amsterdam nails. Brand 2: la lupa wok to wal. Merchant Category: none. Description: · nail salonnieuwezijds voorburgwal ⋅ opens; near amsterdam, netherlands; · nail salonjan van galenstraat ⋅ opens mon; · nail saloneuropaplein ⋅ opens; wok restaurant.",8,8
28,0.8966329476320432,Brand 1: porto alegre cafe. Brand 2: porto alegre. Merchant Category: restaurants or eating places. Description: steak house.,2,2
29,-1.3358738901520677,Brand 1: fort mckinley. Brand 2: fort mckinley rest. Merchant Category: none. Description: filipino restaurant.,2,2
30,0.32452066379138883,"Brand 1: mister car wash. Brand 2: mister express lube. Merchant Category: car washes. Description: west river pkwy nwclosed ⋅ opens fri; st nwclosed ⋅ opens fri; crossroads drclosed ⋅ opens fri; near rochester, mn; car wash in rochester, minnesota.",7,7
31,-0.0581042096870473,"Brand 1: fantasy of flight. Brand 2: fantasy of flight. Merchant Category: none. Description: museum in polk county, florida.",2,2
32,-0.7072287293633044,Brand 1: taqueria jalos. Brand 2: jalos taqueria. Merchant Category: restaurants or eating places. Description: mexican restaurant.,2,2
33,-0.2858667834731972,"Brand 1: curtis park delicatessen. Brand 2: curtis park deli. Merchant Category: restaurants or eating places. Description: champa stclosed ⋅ opens fri; e ave unit bclosed ⋅ opens fri; near denver, co; near curtis park, denver, co.",6,2
34,-1.3978588835563504,"Brand 1: ace hardware. Brand 2: schreiner ace hardware. Merchant Category: hardware stores. Description: parsons aveclosed ⋅ opens fri; n high stclosed ⋅ opens fri; near columbus, oh; w aveclosed ⋅ opens fri; hardware store in columbus, ohio.",6,6
35,1.0950238268796315,"Brand 1: welsh enterprises. Brand 2: welsh enterprises. Merchant Category: automotive parts accessories stores. Description: auto parts store in steubenville, ohio.",6,6
36,-0.28773558807448335,"Brand 1: the fridge. Brand 2: the beer place. Merchant Category: none. Description: pizza restaurant; near lancaster, pa; · $$restaurant · n plum stclosed ⋅ opens fri; bar · n prince stclosed ⋅ opens fri; · $$brewpub · w king stclosed ⋅ opens fri.",6,2
37,0.7620140074343026,Brand 1: fan network   dci. Brand 2: fan network   dci. Merchant Category: card gift novelty or souvenir shops. Description: none.,6,6
38,2.528328986926898,"Brand 1: amery regional medical center. Brand 2: amery regional med. Merchant Category: none. Description: medical center in amery, wisconsin.",4,4
39,-0.2565351749399438,"Brand 1: candy warehouse. Brand 2: candywarehouse.com, in. Merchant Category: candy confectionery or nuts stores. Description: e-commerce service.",6,6
40,-0.934914283690607,Brand 1: nimbus american bistro. Brand 2: nimbus american bistro. Merchant Category: restaurants or eating places. Description: bistro.,2,2
41,-0.59013780755626,Brand 1: national registry of emergency medical technicians. Brand 2: ntl registry of emts. Merchant Category: catalog merchant. Description: none.,5,6
42,-0.5798936068002053,Brand 1: pixleys shur fine food mart. Brand 2: pixleys shurfine  s. Merchant Category: grocery stores or supermarkets. Description: grocery store.,6,6
43,0.3537914052315206,Brand 1: belfast variety. Brand 2: belfast variety. Merchant Category: automated fuel dispensers. Description: gas station.,7,7
44,0.13582732597069702,"Brand 1: cheaper cigarettes. Brand 2: cheaper cigarettes. Merchant Category: cigar stores and stands. Description: tobacco shop in glendale, arizona.",6,6
