Amount ($),Merchant Code,Merchant Category,Default Brand,Default Brand Description,Coalesced Brand,Coalesced Brand Description,Location,Category
2.0,5411.0,grocery stores or supermarkets,sky foods,"['college point blvdclosed ⋅ opens fri', 'near flushing, queens, ny', 'main stclosed ⋅ opens fri']",skyfoods,"['college point blvdclosed ⋅ opens fri', 'near flushing, queens, ny', 'main stclosed ⋅ opens fri']",flushing ny,Retail Trade
29.4,nan,nan,reena's boutique,"['beauty salon in the west springfield, virginia']",reenas boutique,"['beauty salon in the west springfield, virginia']",springfield va,"Trade, Professional and Personal Services"
20.0,5963.0,door-to-door sales or direct selling establishments,dennis e kanely dba fr,"['beauty product supplier in datil, new mexico']",dennis e,['view all'],datil nm,"Trade, Professional and Personal Services"
29.42,nan,nan,subway (cura cabai,"['fast food restaurant', 'view all']",subway,"['fast food restaurant', 'view all']",cura cabai aw,Entertainment
45.0,nan,nan,vero valero,['convenience store'],valero food mart,['convenience store'],vero beach fl,Retail Trade
53.5,nan,nan,orange valero,"['gas station in orange, connecticut']",orange valero,"['gas station in orange, connecticut']",orange ct,Services to Transport
6.75,nan,nan,knudsens ice cream,['ice cream shop'],knudsens restaurant ice creamery,['ice cream shop'],castro valley ca,Retail Trade
36.46,nan,nan,bahia restaurant,"['view all', 'restaurant']",bahia restaurant,"['view all', 'restaurant']",chantilly va,Entertainment
9.51,nan,nan,new hibachi season,"['near burlington, nc', '· $$japanese · s church stclosed ⋅ opens fri', '· $$buffet · huffman mill rdclosed ⋅ opens fri', 'japanese · e front stclosed ⋅ opens fri']",umami japanese steakhouse and sushi,"['near burlington, nc', '· $$japanese · s church stclosed ⋅ opens fri', '· $$japanese · university dr hclosed ⋅ opens fri', 'japanese · e front stclosed ⋅ opens fri']",burlington nc,Entertainment
166.29,5599.0,automotive dealers,potestio brothers,['tractor dealer'],potestio brothers equipment,['tractor dealer'],parker co,Retail Trade
61.99,5977.0,cosmetic stores,kicks nordstan gotebor,"['cosmetics store in gothenburg, sweden']",kicks,"['near gothenburg, sweden', 'gothenburg, swedenclosed ⋅ opens']",goteborg se,Retail Trade
13.26,5814.0,fast food restaurants,caplansky's deli,"['view all', 'deli']",caplansky's deli,"['view all', 'deli']",toronto cd,Entertainment
577.7,nan,nan,airgas southwest,"['welding supply storegrand prairie, txclosed ⋅ opens fri', 'welding supply storehouston, txclosed ⋅ opens fri', 'near texas', 'welding supply storebelton, txclosed ⋅ opens fri']",airgas,"['welding supply storegrand prairie, txclosed ⋅ opens fri', 'welding supply storedeer park, txclosed ⋅ opens fri', 'near texas', 'welding supply storefort worth, txclosed ⋅ opens fri']",tx,Services to Transport
41.79,5812.0,restaurants or eating places,all day breakfast,['breakfast restaurant'],all day breakfast,['breakfast restaurant'],kennebunk me,Entertainment
9.33,nan,nan,wendys cone #,"['queen stopen ⋅ closes', 'near southington, ct', 'meriden-waterbury turnpikeopen ⋅ closes']",wendys,"['queen stopen ⋅ closes', 'near southington, ct', 'meriden-waterbury turnpikeopen ⋅ closes']",southington ct,Entertainment
8.54,nan,nan,handiest food mart,['convenience store'],convenient food mart,['convenience store'],moorpark ca,Retail Trade
28.0,nan,nan,vanny nails,"['nail salon in fort lauderdale, florida']",vanny nails,"['nail salon in fort lauderdale, florida']",fort lauderda fl,"Trade, Professional and Personal Services"
11.65,5812.0,restaurants or eating places,hashigo tofu,['restaurant'],hashigo korean kitchen,['restaurant'],costa mesa ca,Entertainment
32.47,nan,nan,aysu llc,['view all'],aysu,[],el paso tx,Entertainment
24.46,nan,nan,las salsas bar & g,['mexican restaurant'],las salsas,['mexican restaurant'],manor tx,Entertainment
30.0,nan,nan,wingate alternate,"['private university in wingate, north carolina', 'view all']",wingate university,"['private university in wingate, north carolina', 'view all']",wingate nc,Education
8.54,5399.0,general merchandise or convenience food stores,dollar king inc,"['n glendale avecloses soon ⋅', 'near dollar king, glendale', 'e colorado stcloses soon ⋅', 'san fernando rdclosed ⋅ opens fri']",dollar king,"['n glendale avecloses soon ⋅', 'e colorado stcloses soon ⋅', 'san fernando rdclosed ⋅ opens fri', 'near glendale, ca']",glendale ca,Retail Trade
20.0,6513.0,real estate agents and managers-rentals,pay*seaside rockypoint,[],seaside reservations scottsdale az,"['· $$$$fine dining · n kierland blvd', '· $$$seafood · e mccormick pkwycloses soon ⋅', '· $$$$fine dining · n goldwater blvd', 'near scottsdale, az']",az,"Trade, Professional and Personal Services"
