Amount ($),Merchant Code,Merchant Category,Default Brand,Default Brand Description,Coalesced Brand,Coalesced Brand Description,Location,Category
58.34,6300.0,insurance sales and underwriting,delta dental of a of,"['near santa clara county, ca', 'oral surgeondaly city, caclosed ⋅ opens fri', 'dental insurance agencysherwood, arclosed ⋅ opens fri', 'dentistdublin, ca']",delta dental,"['dental insurance agency in sherwood, arkansas']",ar,Finance
103.0,nan,nan,"surety solutions,","['· insurance agencysalem, orclosed ⋅ opens fri', '· insurance agencyrancho cordova, caclosed ⋅ opens fri', 'near santa clara county, ca', 'financial consultantsanta clara, catemporarily closed']",surety solutions,"['· insurance agencysalem, orclosed ⋅ opens fri', '· insurance agencyrancho cordova, caclosed ⋅ opens fri', 'near santa clara county, ca', 'financial consultantsanta clara, catemporarily closed']",or,Finance
22.44,nan,nan,the copy stop,"['copy shop in salt lake city, utah']",the copy stop,"['copy shop in salt lake city, utah']",salt lake cit ut,Finance
22.44,7375.0,information retrieval services,market alert inc,"['mortgage lender in plano, texas']",market alert,"['mortgage lender in plano, texas']",tx,Finance
66.25,nan,nan,pert  ner perfect,[],hometown insurance partners,"['insurance agency in the woodlands, texas']",the woodlands tx,Finance
37.5,8931.0,accounting bookkeeping or auditing services,ezee title loans,"['loan agency in apache junction, arizona']",ezee title loans,"['loan agency in apache junction, arizona']",az,Finance
19.0,6300.0,insurance sales and underwriting,mirage insurance agenc,"['· auto insurance agencyel mirage, azclosed ⋅ opens fri', 'near phoenix, az', '· insurance n dreamy draw dr suite', '· insurance agencymesa, azclosed ⋅ opens fri']",mirage insurance,"['insurance agency in mesa, arizona']",phoenix az,Finance
749.88,nan,nan,allied cust financ,[],allied financial,"['near new jersey', '· financial plannerparsippany-troy hills, njclosed ⋅ opens fri', 'business to business serviceturnersville, njclosed ⋅ opens fri', '· financial plannerblackwood, njclosed ⋅ opens fri']",nj,Finance
210.63,nan,nan,unifour financial,"['financial institution in hickory, north carolina']",unifour financial services,"['financial institution in hickory, north carolina']",nc,Finance
450.0,6012.0,financial institutions - merchandise & services,credit union west,"['w glendale aveclosed ⋅ opens fri', 'near glendale, az', 'w desert river blvd ⋅ opens fri', 'n aveclosed ⋅ opens fri']",credit union west glendale az,"['w glendale aveclosed ⋅ opens fri', 'near glendale, az', 'w desert river blvd ⋅ opens fri', 'n aveclosed ⋅ opens fri']",glendale az,Finance
