Amount ($),Merchant Code,Merchant Category,Default Brand,Default Brand Description,Coalesced Brand,Coalesced Brand Description,Location,Category
44.0,7230.0,barber or beauty shops,m v nails,"['nail salon in houston, texas']",m v nails,"['nail salon in houston, texas']",humble tx,"Trade, Professional and Personal Services"
96.95,5964.0,catalog merchant,spasorder.com,[],spas 2 order,"['hot tub store in anaheim, california']",ca,"Trade, Professional and Personal Services"
15.04,nan,nan,get go,['convenience store'],getgo gas station and wetgo car wash,"['groveport, ohclosed ⋅ opens', 'west mifflin, paopen', 'location unknown', 'view all', 'pittsburgh, paclosed ⋅ opens']",southaven ms,Services to Transport
604.06,7538.0,automotive service shops (non-dealer),aamco service center,"['transmission shop in mesa, arizona']",aamco transmissions and total car care,"['s sossaman rdclosed ⋅ opens fri', 's country club drclosed ⋅ opens fri', 'near mesa, az']",mesa az,Services to Transport
4.08,7542.0,car washes,north college stor qps,"['fast food restaurant in fort collins, colorado']",north college storage,"['self-storage facility in fort collins, colorado']",fort collins co,"Trade, Professional and Personal Services"
17.23,nan,nan,bbq town,['korean barbecue restaurant'],bbq town,['korean barbecue restaurant'],santa clara ca,Entertainment
30.7,nan,nan,abcr gatlinburg,"['campground · east pkwy,', 'near gatlinburg, tn', 'liquor store · parkwayclosed ⋅ opens', 'campground · east pkwyriverfront sites, cabins & recreation']",epis liquor store gatlinburg,"['liquor store · east pkwyclosed ⋅ opens', 'near gatlinburg, tn', 'liquor store · parkwayclosed ⋅ opens']",gatlinburg tn,Retail Trade
49.35,7933.0,bowling alleys,terrell bowling ce,"['bowling alley in terrell, texas']",terrell bowling center,"['bowling alley in terrell, texas']",terrell tx,Entertainment
25.14,7991.0,tourist attractions and exhibits,buckingham palace adm,"['royal residence in london, england']",palace arms,"['view all', 'near london, uk', 'bar · lobby, strandclosed ⋅ opens', '· $$pub · church rdclosed ⋅ opens', '· $$pub · greater, alexandra palace, station rdclosed ⋅ opens']",london gb,Entertainment
71.0,5542.0,automated fuel dispensers,gasco,['convenience store'],gasco,['convenience store'],tucson az,Services to Transport
29.35,5621.0,women's ready-to-wear stores,system,"['hospital · los angeles, ca', ""women's clothing store · santee st suite closed"", 'language school · wilshire blvd ⋅ opens fri', 'view all', 'near los angeles, ca']",system,"['hospital · los angeles, ca', ""women's clothing store · santee st suite closed"", 'language school · wilshire blvd ⋅ opens fri', 'view all', 'near los angeles, ca']",los angeles ca,Retail Trade
17.47,nan,nan,ruby xin chinese,"['near philadelphia, pa', 'cajun · s christopher columbus blvdclosed ⋅ opens', '· $$chinese · ridge aveclosed ⋅ opens', '· $chinese takeout · cottman aveclosed ⋅ opens']",new ruby chinese restaurant,['chinese restaurant'],philadelphia pa,Entertainment
40.08,5541.0,gas/service stations with/without ancillary services,ft.  klamath general s,"['museum in fort klamath, oregon']",general sams,"['warehouse club in york county, south carolina']",ft.  klamath or,Entertainment
26.98,nan,nan,complexin,['view all'],union point sports complex,"['sports complex in weymouth, massachusetts']",ma,Entertainment
155.0,4225.0,public warehousing-farm prod refridgerat,midvale storage center,"['self-storage facility · s wclosed ⋅ opens fri', 'near midvale, ut', 'self-storage facility · aveclosed ⋅ opens fri', 'self-storage facility · s allen stclosed ⋅ opens fri']",midvale storage center,"['self-storage facility · s wclosed ⋅ opens fri', 'near midvale, ut', 'self-storage facility · aveclosed ⋅ opens fri', 'self-storage facility · s allen stclosed ⋅ opens fri']",midvale ut,"Trade, Professional and Personal Services"
47.9,5968.0,continuity/subscription merchant,acm*instant effect,[],acm*instant effect,[],nj,Property and Business Services
30.69,nan,nan,centro cafe,['italian restaurant'],centro cafe,['italian restaurant'],milwaukee wi,Entertainment
8.5,7216.0,dry cleaners,maxwell village cleane,"['shopping mall in sonoma, california']",maxwell village cleaners,"['shopping mall in sonoma, california']",sonoma ca,"Trade, Professional and Personal Services"
5.32,4816.0,computer network/info svcs,"walkwire, llc",[],walkwire san francisco ca,[],ca,"Trade, Professional and Personal Services"
144.0,7230.0,barber or beauty shops,nicole riley,"['hair salon in loveland, colorado']",nicole riley,"['hair salon in loveland, colorado']",loveland co,"Trade, Professional and Personal Services"
30.0,nan,nan,beverly nails and,"['· beauty salon', '· nail salonmontebello, caclosed ⋅ opens fri', '· nail beverly blvdclosed ⋅ opens fri', 'near los angeles, ca']",maria nails,"['nail salon in los angeles, california']",los angeles ca,"Trade, Professional and Personal Services"
129.0,7997.0,membership clubs incl sports rec athletic country golf,plexus pilates   plexu,"['n aveclosed ⋅ opens fri', 'n rancho vistoso blvdclosed ⋅ opens fri', 'n oracle rdclosed ⋅ opens fri', 'near oro valley, az']",plexus pilates,"['near plexus pilates, n dove mountain blvd, marana, az', 'pilates studio · oro valley, azclosed ⋅ opens fri']",oro valley az,Health and Community Services
42.0,7399.0,business services (nec),itsmineusa,[],itsmineusa,[],ga,Property and Business Services
680.0,8021.0,dentists or orthodontists,jeffrey h dubois dds p,"['dentist in tucson, arizona']",dr. jeffrey h. dubois dds,"['dentist in tucson, arizona']",tucson az,Health and Community Services
8.9,5812.0,restaurants or eating places,chinese wok express,['chinese restaurant'],chinese wok express,['chinese restaurant'],lilburn ga,Entertainment
55.0,5812.0,restaurants or eating places,lai thai,['restaurant'],lai thai,['restaurant'],casper wy,Entertainment
1748.47,nan,nan,todd yerondopoulos,"['dentist in pleasanton, california', 'view all']",todd yerondopoulos dds,"['dentist in pleasanton, california']",piedmont ca,Health and Community Services
55.95,5699.0,apparel and accessory shops -- miscellaneous,mr horsepower apparel,[],mr horsepower apparel,[],ca,Retail Trade
45.0,7230.0,barber or beauty shops,willetta mitchell,"['view all', 'dog park in tempe, arizona']",willetta mitchell,"['view all', 'dog park in tempe, arizona']",tempe az,"Trade, Professional and Personal Services"
25.3,5812.0,restaurants or eating places,el burro pancho llc,['mexican restaurant'],gustavos mexican restaurant and bar,['mexican restaurant'],cortez co,Entertainment
7.0,7542.0,car washes,cougar car wash llc,"['self service car wash in livingston county, new york']",cougar car wash,"['self service car wash in livingston county, new york']",lima ny,Services to Transport
14.04,nan,nan,sq *katie's frozen,"['ice cream shop', 'view all']",katies frozen custard,['ice cream shop'],beverly hills tx,Entertainment
18.0,nan,nan,gables nails,"['nail salon in coral gables, florida']",gables nails salon,"['nail salon in coral gables, florida']",miami fl,"Trade, Professional and Personal Services"
25.01,nan,nan,polo's mexican foo,['mexican restaurant'],polos mexican food and alfonsos sports bar,['mexican restaurant'],odessa tx,Entertainment
36.25,nan,nan,greek bros oyster,['bar & grill'],greek bros. oyster bar and grill,['bar & grill'],victoria tx,Entertainment
51.96,7298.0,beauty or health spas,planet tan dfw,"['dallas, txclosed ⋅ opens fri', 'north richland hills, txclosed ⋅ opens fri', 'near dallas-fort worth metropolitan area, tx', 'fort worth, txclosed ⋅ opens fri']",planet tan,"['tanning salon in north richland hills, texas']",n richlnd hls tx,"Trade, Professional and Personal Services"
16.23,5251.0,hardware stores,higginbothams colorado,"['hardware store in colorado city, texas']",higginbotham,"['hardware store in colorado city, texas']",colorado city tx,Retail Trade
1017.1,3011.0,aeroflot,aeroflot oao,[],aeroflot oao,[],moskva ru,Travel
45.0,742.0,veterinary services,pittman animal hos,"['animal hospital in omaha, nebraska']",pittman animal hospital,"['animal hospital in omaha, nebraska']",omaha ne,Health and Community Services
5.0,nan,nan,scene premium nigh,['night club'],scene premium night club,['night club'],st petersburg fl,Entertainment
20.0,nan,nan,west cary family p,"['doctor in cary, north carolina']",west cary family physicians,"['doctor in cary, north carolina']",cary nc,Health and Community Services
9.84,5499.0,misc food stores - specialty markets & convenience,chinesemedicineherb.co,"['herb shop in phoenix, arizona']",healthy chinese herbs,"['acupuncture clinic in phoenix, arizona']",az,Health and Community Services
5.0,nan,nan,karava pizza n pit,"['· $pizza · w stclosed ⋅ opens', '· $$pizza · avenue a', '· $pizza · grand central terminal, east street, lowerclosed ⋅ opens', 'near new york, ny']",roses pizza and pasta,['pizza restaurant'],new york ny,Entertainment
49.23,5199.0,non-durable goods (nec),burman coffee traders,['coffee store'],burman coffee traders,['coffee store'],wi,Entertainment
20.0,8062.0,hospitals,copperqueencomhospital,"['general hospital in bisbee, arizona']",copper queen community hospital,"['general hospital in bisbee, arizona']",bisbee az,Health and Community Services
36.72,7216.0,dry cleaners,sandy's magic touch,"['dry cleaner in phoenix, arizona']",sandys magic touch cleaners,"['dry cleaner in phoenix, arizona']",phoenix az,"Trade, Professional and Personal Services"
36.08,5542.0,automated fuel dispensers,souris river g,[],souris river co op,['fertilizer supplier'],newburg nd,Retail Trade
6.41,nan,nan,relish big tasty b,['hamburger restaurant'],relish,"['w university aveclosed ⋅ opens', 'se stclosed ⋅ opens', 'near gainesville, fl', 'sw archer rd # fclosed ⋅ opens']",gainesville fl,Entertainment
7.57,nan,nan,dean home center a,"['hardware store in madisonville, texas']",roy v dean lumber,"['hardware store in madisonville, texas']",madisonville tx,Retail Trade
3.5,8220.0,universities colleges sr colleges or professional schools,asu rock art ctr deer,"['art museum in tempe, arizona']",asu art museum ceramics research center,"['art museum in tempe, arizona']",tempe az,Entertainment
55.0,4225.0,public warehousing-farm prod refridgerat,blanco self storage,"['self-storage facility in salinas, california']",blanco self storage,"['self-storage facility in salinas, california']",salinas ca,"Trade, Professional and Personal Services"
9.23,nan,nan,m & o station gril,['hamburger restaurant'],m and o station grill,['hamburger restaurant'],fort worth tx,Entertainment
9.5,nan,nan,city cafe,['restaurant'],city cafe,['restaurant'],mount holly nc,Entertainment
24.99,nan,nan,weingartz supply o,['tractor dealer'],weingartz,['tractor dealer'],utica mi,Retail Trade
10.95,5999.0,miscellaneous & specialty stores,crane school district,"['school district', 'elementary school in yuma, arizona']",school district,"['near arizona', 'school district office · sells, az', 'school district office · gilbert, az', 'school district office · phoenix, azclosed ⋅ opens fri']",az,Retail Trade
55.11,5411.0,grocery stores or supermarkets,nakumatt mega pos,['view all'],nakumatt mega,['supermarket'],nairobi ke,Retail Trade
53.18,4812.0,telecommuncations equipment including telephone sales,cellairis park pla,"['shopping mall in tucson, arizona']",cellairis,"['n oracle rd ⋅ opens fri', 'e broadway blvdclosed ⋅ opens fri', 'n oracle rdclosed ⋅ opens fri', 'near tucson, az']",tucson az,Retail Trade
10.0,nan,nan,excelsior registra,"['doctor in amherst, new york']",excelsior orthopaedics,"['sheridan drclosed ⋅ opens', 'near amherst, ny', 'east amherst, nyclosed ⋅ opens']",amherst ny,Health and Community Services
40.65,5999.0,miscellaneous & specialty stores,miraval retail,['resort hotel'],miraval arizona resort and spa,['resort hotel'],tucson az,Travel
47.14,5411.0,grocery stores or supermarkets,ley palo verde,['supermarket'],verde,"['view all', 'open in maps']",hermosillo so mx,Entertainment
2.67,nan,nan,global kitchen,['fast food restaurant'],global kitchen,['fast food restaurant'],new york ny,Entertainment
25.0,nan,nan,beatrice hecker md,"['obstetrician-gynecologist in kendall, florida']",hecker beatrice r md,"['obstetrician-gynecologist in kendall, florida']",miami fl,Health and Community Services
25.0,8398.0,charitable or social services organizations,natl ctr for public po,[],natl ctr for public po,[],va,Health and Community Services
32.06,5655.0,riding or sports apparel stores,lift house ski shop,"['ski shop in cottonwood heights, utah']",the lifthouse,"['view all', 'ski shop in cottonwood heights, utah']",merchantsalt ut,Retail Trade
325.0,7911.0,dance halls studios and schools,dynamo gymnastics,"['gymnastics center in oklahoma city, oklahoma']",dynamo gymnastics,"['gymnastics center in oklahoma city, oklahoma']",oklahoma city ok,Entertainment
50.0,8099.0,medical services and health practitioners (nec),center for pain mngt,"['wyomissing, pa', 'location unknown', 'dearborn, miclosed ⋅ opens', 'boston, maopen ⋅ closes']",arizona center for pain relief,"['pain management physician in maricopa county, arizona']",az,Health and Community Services
